prediction,name
1,AMP3169
0,nonAMP160876
1,AMP2199
0,nonAMP40508
0,nonAMP39001
1,AMP2405
0,AMP2425
1,AMP1449
1,AMP1421
1,nonAMP42064
0,AMP2095
0,nonAMP14181
0,nonAMP118151
0,nonAMP103508
1,AMP2768
0,nonAMP143280
1,nonAMP161494
1,AMP200
1,AMP659
0,nonAMP39620
0,nonAMP99448
1,AMP322
1,AMP3193
0,nonAMP64474
0,nonAMP16914
1,AMP2532
1,AMP2432
1,nonAMP24197
0,nonAMP122929
1,AMP2001
0,nonAMP136022
0,nonAMP17353
0,AMP642
0,nonAMP45238
1,AMP2877
1,AMP2076
0,AMP250
1,AMP1233
0,AMP3047
1,AMP1582
0,nonAMP109794
0,nonAMP58255
0,nonAMP14351
0,AMP1300
0,nonAMP135811
1,nonAMP138849
1,AMP997
0,nonAMP51891
0,nonAMP70620
0,AMP2710
1,AMP1099
0,nonAMP146899
1,AMP170
0,nonAMP54244
0,nonAMP38720
1,AMP2481
0,nonAMP11393
1,AMP2473
0,nonAMP113715
1,AMP1563
0,AMP1329
1,AMP2540
0,nonAMP15564
1,nonAMP127066
0,nonAMP142069
0,nonAMP124884
1,AMP3105
1,AMP187
1,AMP2383
1,nonAMP46965
1,AMP2452
1,AMP2686
1,AMP382
0,nonAMP44300
1,AMP2996
1,nonAMP79251
0,nonAMP12252
0,AMP2189
1,AMP335
0,nonAMP66869
1,nonAMP31737
1,AMP2128
0,nonAMP164724
1,AMP1044
0,nonAMP60060
0,nonAMP97755
0,nonAMP5135
0,nonAMP68519
0,nonAMP54103
1,AMP675
1,AMP478
1,AMP2297
0,nonAMP74272
1,AMP2745
1,AMP1528
1,AMP3200
1,AMP1692
1,AMP1634
1,AMP1497
0,nonAMP73305
1,AMP1338
1,nonAMP56183
0,nonAMP95969
1,AMP1284
0,nonAMP165794
0,nonAMP98136
0,nonAMP44784
1,AMP987
1,AMP3067
1,AMP1687
1,AMP859
0,nonAMP62587
0,nonAMP69231
1,AMP2391
1,AMP220
0,nonAMP139455
0,nonAMP151848
1,AMP71
0,nonAMP90094
1,AMP2784
0,nonAMP130289
0,nonAMP98414
1,AMP3018
1,AMP1373
1,AMP2122
0,AMP2180
0,nonAMP93505
1,AMP2472
0,nonAMP73482
1,AMP2872
0,nonAMP110172
0,AMP2719
1,AMP975
1,AMP348
1,AMP709
0,nonAMP31131
0,nonAMP98698
1,AMP395
1,AMP2059
0,nonAMP124476
0,AMP131
0,nonAMP50890
0,nonAMP105346
1,nonAMP149518
0,nonAMP133522
1,AMP1866
1,AMP1481
0,nonAMP158578
0,nonAMP100571
0,nonAMP153383
1,AMP1523
0,AMP571
1,nonAMP5584
0,nonAMP141126
0,AMP372
0,AMP1585
0,AMP2160
0,nonAMP144630
0,nonAMP98657
1,nonAMP89910
0,nonAMP135561
1,AMP1359
0,nonAMP106518
0,nonAMP158529
1,AMP2550
1,AMP971
1,AMP1440
1,nonAMP82827
1,AMP2380
0,nonAMP611
1,AMP2838
1,AMP224
0,nonAMP31720
0,AMP600
0,nonAMP108753
0,nonAMP49460
1,AMP277
1,AMP1459
1,AMP2341
1,AMP173
1,AMP1770
1,AMP3199
1,AMP3074
0,AMP1673
1,AMP2023
1,AMP1916
0,nonAMP105550
1,nonAMP152103
1,AMP1997
0,nonAMP35403
0,AMP2720
0,nonAMP37359
1,nonAMP2143
1,AMP1865
0,nonAMP107826
0,nonAMP85646
0,nonAMP165443
1,AMP1879
0,AMP3039
0,AMP178
0,nonAMP53667
1,AMP1646
1,AMP1612
0,nonAMP105958
1,AMP2221
1,AMP1070
1,AMP3245
0,nonAMP43119
0,nonAMP137058
0,nonAMP103515
1,AMP2537
1,AMP1922
1,AMP609
1,AMP960
1,AMP892
1,nonAMP136453
1,AMP1213
1,nonAMP99616
0,nonAMP131464
0,AMP3037
0,nonAMP39568
0,AMP63
1,AMP924
1,nonAMP17243
1,AMP3254
0,nonAMP125367
1,AMP3166
0,nonAMP61951
0,AMP736
0,nonAMP156818
1,AMP671
1,AMP274
0,nonAMP132341
1,nonAMP57105
1,nonAMP13181
0,nonAMP48002
0,nonAMP13713
0,nonAMP47470
0,nonAMP74818
1,AMP564
1,nonAMP130897
0,nonAMP21649
1,AMP970
1,AMP2239
0,nonAMP32935
0,nonAMP109655
0,nonAMP47088
0,AMP1445
0,nonAMP89573
1,AMP728
1,AMP1260
0,nonAMP118385
0,AMP591
0,nonAMP150798
1,AMP2121
0,nonAMP86719
1,AMP387
1,AMP1906
1,nonAMP57678
1,AMP1261
1,AMP863
0,AMP3165
0,nonAMP94924
1,AMP1829
1,AMP3130
1,AMP415
1,AMP1748
0,nonAMP163189
1,AMP1536
0,nonAMP65434
0,nonAMP132523
0,nonAMP70331
1,nonAMP80131
0,nonAMP49534
0,nonAMP164291
1,nonAMP45540
0,nonAMP73131
0,AMP1138
1,AMP2203
1,AMP847
0,AMP2066
0,nonAMP85079
0,nonAMP151556
1,AMP1103
0,nonAMP133591
0,nonAMP41819
1,AMP1704
1,AMP2603
1,AMP779
1,AMP3092
0,AMP2099
1,AMP1001
1,AMP545
1,AMP134
0,nonAMP22278
1,nonAMP25341
1,AMP1731
1,AMP2777
1,AMP2357
1,AMP2082
0,nonAMP99971
1,AMP427
0,AMP2247
0,nonAMP164525
0,nonAMP26809
0,nonAMP120386
1,AMP1784
1,AMP3069
0,AMP2837
1,AMP910
1,AMP595
0,nonAMP93833
0,nonAMP57914
0,nonAMP16816
0,nonAMP110675
0,nonAMP18105
0,AMP192
1,AMP1349
0,nonAMP137889
1,AMP458
0,AMP613
1,nonAMP122028
1,AMP327
0,nonAMP104105
1,AMP1676
1,AMP181
0,nonAMP79910
0,AMP2118
0,nonAMP112990
1,AMP3216
1,AMP2288
1,AMP2448
1,AMP1740
1,AMP3229
1,AMP1964
1,AMP652
0,nonAMP54555
0,nonAMP40941
1,nonAMP5335
1,AMP1060
0,nonAMP129796
1,AMP43
1,AMP2600
0,nonAMP161489
1,nonAMP31174
1,AMP1351
0,AMP2767
1,AMP2699
1,AMP943
0,nonAMP159684
0,nonAMP121338
1,AMP3071
0,nonAMP150278
1,AMP867
1,AMP1605
1,nonAMP92009
0,nonAMP42660
1,AMP3032
0,nonAMP72436
0,nonAMP97298
0,nonAMP50525
0,nonAMP124730
1,AMP2638
1,nonAMP67361
0,nonAMP60548
1,nonAMP77280
0,nonAMP53107
1,AMP1207
1,AMP1799
0,nonAMP150540
1,AMP617
1,AMP2882
0,nonAMP166509
0,nonAMP154615
0,nonAMP55649
0,nonAMP37671
0,AMP1694
1,AMP92
0,nonAMP69747
0,nonAMP3251
0,nonAMP41986
0,nonAMP64113
1,AMP810
1,AMP2721
1,nonAMP12751
1,AMP180
0,AMP1550
1,AMP551
1,nonAMP142341
1,AMP1811
0,nonAMP113148
0,nonAMP126925
1,nonAMP31086
1,AMP488
1,AMP1533
1,AMP1809
1,nonAMP101159
0,nonAMP69979
1,AMP713
0,nonAMP69135
1,AMP1568
0,nonAMP1010
1,AMP497
1,AMP2352
1,nonAMP164252
1,AMP1188
0,nonAMP72566
1,AMP1664
0,nonAMP38924
0,nonAMP2072
0,nonAMP91263
0,nonAMP1506
0,nonAMP59594
1,AMP3144
1,AMP2967
1,AMP2678
1,AMP1697
0,nonAMP58912
1,AMP1073
1,AMP378
0,nonAMP132504
0,nonAMP94329
1,AMP1918
1,AMP1608
0,nonAMP112489
0,nonAMP5919
0,nonAMP23994
1,nonAMP37528
1,AMP15
0,nonAMP61447
1,AMP1186
0,nonAMP98588
1,AMP3257
0,nonAMP77337
1,AMP1998
0,nonAMP71826
0,nonAMP109075
0,AMP2237
0,nonAMP74718
0,AMP1969
0,nonAMP153811
0,AMP2420
0,nonAMP83551
1,nonAMP11344
1,nonAMP74050
1,nonAMP152370
0,nonAMP85140
1,AMP699
0,nonAMP7073
1,AMP69
1,AMP1813
0,nonAMP31090
1,AMP379
1,nonAMP133315
1,AMP1290
1,AMP457
1,AMP3151
1,AMP1214
1,nonAMP127836
0,AMP1239
1,AMP2749
1,nonAMP127061
1,AMP2559
0,nonAMP104422
0,nonAMP134452
1,AMP581
1,AMP1733
1,AMP2630
1,AMP995
0,nonAMP5660
1,AMP3027
1,AMP6
1,AMP723
0,AMP2274
0,nonAMP81008
0,nonAMP94922
1,AMP1719
0,nonAMP121133
0,AMP990
0,nonAMP136649
0,AMP2018
1,AMP1495
1,AMP2743
0,nonAMP68031
0,nonAMP161118
1,AMP1537
1,nonAMP117253
0,nonAMP81595
1,AMP748
1,AMP2804
0,nonAMP36275
0,nonAMP63241
1,AMP753
1,AMP568
1,AMP988
0,nonAMP113913
0,nonAMP51501
1,nonAMP30323
1,AMP2779
0,nonAMP34699
0,nonAMP30337
0,nonAMP90460
0,nonAMP126533
0,nonAMP103831
0,nonAMP39516
0,nonAMP93326
0,nonAMP80646
1,AMP504
0,nonAMP125441
0,nonAMP29950
0,nonAMP94643
1,AMP1439
1,AMP874
0,nonAMP16904
0,nonAMP49898
1,AMP3185
0,nonAMP129523
0,nonAMP155455
0,nonAMP38802
0,nonAMP35470
0,AMP2141
1,AMP2443
1,AMP3224
0,nonAMP82321
1,AMP210
0,nonAMP159643
0,AMP1690
1,AMP1274
1,AMP3128
1,nonAMP154177
1,AMP1086
1,AMP543
0,AMP118
1,AMP1081
1,AMP2263
0,nonAMP77975
0,nonAMP126537
1,AMP2847
0,nonAMP38103
1,AMP3
1,nonAMP72912
1,AMP585
1,AMP3198
1,nonAMP112328
1,AMP168
1,AMP2885
0,nonAMP127630
1,AMP1402
1,AMP328
0,nonAMP100936
1,AMP544
1,AMP760
0,nonAMP135996
1,AMP384
0,nonAMP77871
0,nonAMP51876
0,nonAMP81639
1,AMP208
0,nonAMP8029
1,AMP1491
0,nonAMP15179
1,AMP1221
1,AMP428
1,AMP16
0,nonAMP155398
0,nonAMP39514
1,AMP523
0,nonAMP11997
1,AMP654
0,nonAMP63841
1,AMP160
1,nonAMP37330
1,AMP719
0,nonAMP166096
0,nonAMP66126
0,nonAMP140105
1,AMP485
0,nonAMP811
0,nonAMP42821
1,AMP1591
1,AMP900
1,AMP1849
0,nonAMP70248
0,nonAMP2537
0,nonAMP132265
1,AMP655
0,nonAMP140906
1,AMP2950
1,nonAMP57462
1,AMP232
1,AMP1759
1,AMP1569
0,nonAMP125990
1,AMP846
0,nonAMP7302
0,nonAMP81178
0,nonAMP18514
0,nonAMP65631
1,AMP616
1,AMP1742
1,nonAMP145034
1,AMP221
0,nonAMP96204
1,AMP159
1,AMP2417
1,AMP70
0,nonAMP102442
0,AMP3050
0,nonAMP113581
1,AMP1375
1,AMP2333
0,nonAMP141268
1,AMP669
1,AMP2488
1,AMP1737
1,AMP907
1,AMP3140
1,AMP605
1,AMP923
0,AMP226
0,nonAMP31460
1,AMP1715
1,AMP1236
0,AMP1567
1,AMP3026
1,AMP310
1,AMP2040
1,AMP1101
1,AMP1
0,nonAMP148461
0,nonAMP12971
1,AMP1900
0,nonAMP145093
1,AMP2820
1,AMP2429
1,AMP3031
1,AMP61
0,nonAMP96685
0,nonAMP104727
0,nonAMP64187
1,AMP3081
0,nonAMP59920
0,nonAMP87756
1,nonAMP59403
1,AMP3132
0,nonAMP147181
0,nonAMP46576
0,nonAMP25450
1,AMP546
1,nonAMP90058
1,AMP2751
0,nonAMP97517
1,AMP2127
0,nonAMP95148
0,nonAMP21930
1,AMP2811
0,nonAMP43137
0,nonAMP134115
0,nonAMP157197
1,AMP1066
0,nonAMP165081
1,AMP2977
1,nonAMP67188
1,AMP2256
1,AMP2854
1,AMP2727
0,nonAMP140107
0,nonAMP32763
1,AMP432
0,nonAMP24573
0,nonAMP95291
1,AMP2547
1,AMP321
0,nonAMP77586
1,AMP701
1,AMP1991
1,AMP983
0,nonAMP25528
0,nonAMP51968
0,nonAMP29147
1,AMP2004
0,AMP2525
1,AMP22
1,AMP2349
1,AMP2492
0,nonAMP151145
0,nonAMP36769
0,nonAMP26011
0,nonAMP100673
0,nonAMP107011
0,nonAMP54552
1,AMP12
0,AMP3116
1,AMP32
1,AMP481
1,AMP128
1,AMP459
0,nonAMP65911
0,AMP3184
0,nonAMP25039
0,nonAMP133272
0,AMP1237
0,nonAMP25255
0,nonAMP105794
1,AMP2326
0,nonAMP161076
1,AMP1946
1,AMP3182
0,nonAMP72135
0,nonAMP6601
0,AMP809
1,nonAMP70354
0,nonAMP135156
0,nonAMP26331
1,nonAMP47391
0,nonAMP144129
0,AMP3052
1,AMP2487
1,AMP828
0,nonAMP34471
0,AMP3145
0,nonAMP61248
0,nonAMP114679
1,AMP1106
0,nonAMP159613
1,AMP2755
0,nonAMP107144
0,AMP1565
1,AMP2849
0,nonAMP4256
1,AMP2864
0,nonAMP74923
1,AMP1853
0,AMP132
0,nonAMP10777
1,AMP2674
1,AMP2401
0,nonAMP114419
0,nonAMP78103
1,AMP1795
0,nonAMP45645
1,AMP2666
1,AMP422
1,AMP1267
1,AMP1898
1,AMP880
0,AMP185
0,nonAMP159912
1,nonAMP150567
1,AMP1098
0,nonAMP24701
0,nonAMP75018
1,AMP1079
1,AMP2662
1,AMP434
1,AMP991
1,AMP1517
1,AMP2785
0,nonAMP81457
1,AMP2361
1,AMP3060
1,AMP1846
1,AMP557
0,nonAMP106382
0,nonAMP50121
1,AMP1858
0,nonAMP69127
0,nonAMP132259
0,nonAMP63508
0,nonAMP107028
1,AMP951
1,AMP425
1,nonAMP102925
0,nonAMP109538
0,nonAMP85912
0,nonAMP103792
1,AMP2041
0,nonAMP142426
1,AMP1307
1,AMP120
1,nonAMP133219
0,nonAMP96858
0,nonAMP1128
1,nonAMP40063
0,nonAMP166785
1,AMP1730
1,AMP2556
1,AMP1910
0,nonAMP30411
1,AMP1046
0,nonAMP17253
0,nonAMP73283
1,nonAMP149207
0,nonAMP6860
0,nonAMP74411
1,AMP2566
1,AMP1672
0,nonAMP151882
0,nonAMP43424
0,nonAMP98633
1,AMP2870
1,AMP1164
1,AMP1633
0,nonAMP45398
0,nonAMP158429
1,AMP1120
1,AMP98
1,AMP2028
1,AMP3172
0,nonAMP18299
1,AMP1227
0,nonAMP29312
0,nonAMP154638
0,nonAMP79584
1,AMP3010
1,nonAMP21305
0,nonAMP163128
0,nonAMP49273
1,AMP634
1,AMP299
0,nonAMP28967
1,AMP1234
0,nonAMP61269
0,nonAMP150298
0,nonAMP26599
1,AMP1476
0,nonAMP3484
0,AMP1453
1,AMP2371
0,nonAMP95730
0,nonAMP107328
0,nonAMP10462
0,AMP2149
0,nonAMP147341
0,nonAMP31773
0,nonAMP20831
0,AMP579
0,nonAMP121489
0,nonAMP134222
0,nonAMP16618
0,AMP2172
0,AMP3085
0,nonAMP11517
1,AMP2444
1,AMP202
0,nonAMP121649
0,nonAMP79034
1,AMP889
0,nonAMP28361
0,nonAMP131617
1,AMP1716
1,AMP289
0,nonAMP9322
1,nonAMP88604
0,nonAMP16192
1,nonAMP81761
0,nonAMP46628
0,nonAMP96711
1,AMP1535
1,AMP1031
1,AMP1553
1,nonAMP35632
0,nonAMP100538
0,nonAMP127607
1,AMP3007
0,nonAMP133085
0,nonAMP28985
1,AMP2226
0,nonAMP33580
1,AMP1027
0,nonAMP45509
0,nonAMP133226
1,AMP1131
1,AMP592
1,AMP3004
1,AMP1989
0,nonAMP130945
1,AMP856
1,AMP933
0,nonAMP126177
0,nonAMP126460
1,AMP534
1,AMP1315
0,nonAMP64167
0,nonAMP116213
0,nonAMP1543
1,AMP1325
1,AMP2396
0,nonAMP113366
1,nonAMP121251
1,AMP2437
0,nonAMP159772
0,nonAMP128365
1,AMP2323
1,nonAMP143618
1,AMP2835
0,nonAMP121997
0,nonAMP44157
0,nonAMP19981
1,AMP3247
1,AMP3096
0,nonAMP147307
0,nonAMP11234
0,nonAMP79211
1,AMP2078
0,nonAMP49543
1,AMP1253
1,nonAMP152706
0,nonAMP7704
1,nonAMP97397
1,AMP1818
1,AMP3250
0,nonAMP81553
1,AMP897
1,AMP297
1,nonAMP110757
0,nonAMP112601
1,AMP2187
1,AMP474
0,nonAMP20232
1,AMP1840
1,AMP558
1,AMP1547
1,AMP3211
1,nonAMP96453
1,AMP1819
1,AMP3073
0,nonAMP38629
0,nonAMP83324
1,AMP1554
1,AMP25
1,AMP451
1,AMP2770
1,AMP2753
1,AMP2806
1,AMP1191
0,nonAMP32509
1,AMP3056
1,AMP475
1,AMP2989
1,AMP2647
0,nonAMP37569
0,AMP72
0,nonAMP82585
1,AMP2754
0,AMP2868
0,nonAMP83673
0,nonAMP114776
1,AMP1293
1,AMP1744
1,AMP994
0,nonAMP50302
1,AMP2883
0,nonAMP161592
0,nonAMP122580
0,nonAMP14434
1,AMP463
0,nonAMP81275
0,nonAMP110954
1,AMP823
0,nonAMP126800
1,AMP1472
0,AMP1072
0,nonAMP120183
1,nonAMP11642
0,nonAMP161168
0,AMP2148
1,nonAMP151056
0,nonAMP153788
1,AMP1804
0,AMP2115
0,nonAMP79551
1,AMP2587
1,AMP1666
1,AMP1174
0,AMP201
1,AMP1527
0,nonAMP54437
1,AMP2495
1,AMP658
1,nonAMP66233
1,AMP375
1,AMP17
0,nonAMP49117
0,nonAMP49340
0,nonAMP78355
1,AMP1243
1,nonAMP144712
1,AMP1489
0,nonAMP142201
0,nonAMP135164
0,nonAMP87143
0,nonAMP7000
1,nonAMP119225
1,AMP1217
1,AMP583
0,nonAMP152262
0,nonAMP17275
1,AMP2314
1,AMP469
1,AMP2003
0,AMP882
1,AMP326
0,nonAMP95492
1,AMP2235
1,AMP2430
0,nonAMP14137
1,AMP2716
0,AMP1286
0,nonAMP152686
1,AMP1419
0,AMP2611
1,AMP2013
1,AMP3181
0,nonAMP117012
0,AMP2154
0,AMP3238
1,AMP1610
0,nonAMP73954
0,nonAMP64312
0,nonAMP15242
1,AMP2436
1,AMP1614
1,AMP188
0,nonAMP106560
0,nonAMP10870
1,AMP986
0,nonAMP17926
0,AMP861
1,AMP2992
1,AMP3053
1,AMP1450
1,AMP2700
0,nonAMP74193
0,nonAMP36812
0,nonAMP16140
1,nonAMP64850
0,nonAMP68908
0,nonAMP111042
0,nonAMP59410
0,nonAMP103056
0,nonAMP86305
1,AMP112
1,AMP400
0,AMP647
0,nonAMP88066
1,nonAMP125472
0,nonAMP98000
0,nonAMP41957
0,AMP2867
0,nonAMP102051
1,AMP884
1,AMP1064
0,nonAMP66925
1,AMP703
1,AMP420
0,nonAMP127857
0,nonAMP120985
1,AMP2439
0,nonAMP10163
1,AMP3109
1,AMP344
1,AMP51
1,AMP1480
1,AMP2825
0,nonAMP23468
1,AMP2962
0,nonAMP85601
1,AMP816
0,nonAMP83020
1,nonAMP103770
0,nonAMP118184
1,nonAMP164522
1,AMP2552
0,AMP2616
0,AMP2923
1,AMP1407
0,nonAMP4145
0,nonAMP33855
1,AMP318
1,AMP2818
0,nonAMP25820
1,nonAMP25808
1,AMP2494
0,nonAMP112291
1,AMP2920
1,AMP1739
1,nonAMP61383
0,nonAMP48566
0,nonAMP103575
1,nonAMP109736
1,AMP2233
0,AMP3208
0,nonAMP110669
1,AMP1297
1,AMP3127
1,AMP1135
1,nonAMP48905
1,AMP1669
1,AMP771
0,nonAMP80243
1,AMP1173
1,AMP2736
1,AMP1593
0,AMP1277
0,nonAMP80405
1,AMP787
1,AMP685
0,AMP881
0,nonAMP131854
0,nonAMP68656
1,nonAMP34587
0,nonAMP43140
1,AMP1008
0,AMP2828
0,nonAMP37479
1,AMP1902
1,AMP1776
1,nonAMP86458
0,nonAMP125451
1,AMP1917
0,nonAMP126806
1,AMP2486
1,AMP2840
1,AMP2063
0,nonAMP137954
0,nonAMP118420
1,AMP248
0,AMP3243
1,AMP1187
0,nonAMP134804
0,nonAMP139467
0,nonAMP114215
0,nonAMP63123
0,nonAMP132095
0,nonAMP43011
0,nonAMP117988
1,AMP2735
1,AMP2404
1,AMP3112
1,AMP2387
0,AMP2460
0,nonAMP21760
0,nonAMP30727
1,AMP737
0,nonAMP73576
0,nonAMP50950
0,nonAMP46767
1,AMP3233
1,AMP117
0,nonAMP59525
0,nonAMP37350
0,AMP2183
1,nonAMP4929
1,AMP1112
1,AMP419
1,AMP775
1,AMP1724
0,nonAMP105695
1,AMP3107
0,nonAMP5635
1,AMP747
0,nonAMP155077
0,nonAMP68375
1,AMP1926
0,AMP2190
0,nonAMP123964
0,nonAMP71364
0,nonAMP38044
1,AMP2539
0,nonAMP151115
1,AMP2276
1,nonAMP6225
1,AMP2101
1,nonAMP153139
0,nonAMP96398
1,AMP3265
1,AMP2653
1,AMP936
0,nonAMP6187
1,AMP2426
0,nonAMP40685
1,nonAMP114431
1,AMP1779
1,AMP743
0,nonAMP89298
1,AMP127
0,AMP1345
1,AMP3016
1,AMP1269
0,nonAMP74916
1,AMP805
1,AMP1867
1,AMP53
0,nonAMP65570
0,nonAMP25926
1,nonAMP3133
0,nonAMP36919
1,AMP433
0,nonAMP83204
0,nonAMP156125
0,nonAMP7837
0,nonAMP140099
1,AMP1320
1,AMP602
1,AMP1387
1,AMP2599
0,nonAMP44072
1,AMP2506
1,AMP974
1,AMP2398
0,AMP1332
0,AMP2065
1,nonAMP83616
1,AMP470
0,nonAMP130448
0,nonAMP47258
1,AMP1941
1,AMP2251
0,nonAMP29494
1,AMP2580
0,nonAMP80456
0,AMP2157
1,AMP2073
0,nonAMP92436
0,nonAMP75203
1,nonAMP38458
1,AMP710
1,AMP1404
0,nonAMP93400
0,nonAMP135929
1,AMP2809
1,nonAMP120853
1,AMP2220
1,AMP1425
0,AMP3003
1,AMP2242
0,nonAMP29053
1,nonAMP144849
0,nonAMP103593
0,nonAMP71931
0,nonAMP122944
1,AMP1209
0,AMP2146
0,nonAMP103580
1,AMP1056
0,nonAMP71652
0,nonAMP48384
1,AMP1364
0,nonAMP142850
1,nonAMP57949
1,AMP1531
0,nonAMP122011
1,AMP1942
0,nonAMP17158
0,AMP2105
0,AMP2428
1,AMP2874
1,AMP423
1,nonAMP98581
0,nonAMP159894
1,AMP1004
0,nonAMP39216
0,nonAMP14769
0,nonAMP143156
0,nonAMP14131
1,AMP2408
1,AMP3139
1,AMP1543
0,nonAMP142397
1,nonAMP106248
1,AMP3059
0,nonAMP17283
0,nonAMP88131
1,AMP2498
1,AMP1958
0,nonAMP72347
0,nonAMP38372
0,nonAMP135997
0,nonAMP4894
0,nonAMP39866
1,nonAMP81095
0,nonAMP130492
0,AMP2821
0,nonAMP72136
1,AMP714
1,nonAMP33210
1,nonAMP108800
0,nonAMP86715
1,AMP2728
0,nonAMP75546
0,nonAMP71909
1,AMP260
1,AMP3078
0,nonAMP4774
0,nonAMP113564
0,nonAMP2333
0,nonAMP4321
1,AMP1663
1,AMP2761
1,AMP519
1,AMP572
0,nonAMP125038
0,nonAMP131235
1,AMP1639
1,AMP2188
0,nonAMP100221
0,nonAMP58923
1,AMP2959
1,AMP3235
0,nonAMP149900
1,AMP2454
1,AMP2062
1,nonAMP85391
0,nonAMP26799
1,AMP1200
1,AMP1399
1,AMP1619
1,AMP2546
1,AMP1247
0,nonAMP36862
1,AMP2152
1,AMP438
1,AMP172
1,AMP1021
0,nonAMP90994
1,AMP2790
0,nonAMP19157
0,AMP797
1,nonAMP121831
0,nonAMP46476
0,nonAMP4746
1,AMP2351
1,AMP766
0,nonAMP22023
0,nonAMP72421
0,nonAMP58281
1,AMP2692
1,AMP1089
1,nonAMP77386
0,nonAMP7318
0,nonAMP97687
1,AMP1009
0,AMP2431
1,AMP2056
1,AMP109
1,AMP716
1,AMP1774
1,AMP1182
0,AMP1561
1,AMP768
0,nonAMP158703
0,nonAMP56266
0,nonAMP146794
0,nonAMP30280
0,nonAMP157478
1,AMP1838
0,nonAMP155121
0,nonAMP129016
0,nonAMP43619
0,nonAMP137477
0,nonAMP159950
0,nonAMP109208
0,nonAMP147205
0,nonAMP76912
1,AMP950
1,AMP140
0,nonAMP70411
1,AMP2955
1,AMP1903
0,nonAMP32164
0,nonAMP46203
0,nonAMP46691
0,nonAMP153912
0,nonAMP101107
1,AMP1943
1,AMP1765
0,nonAMP85800
1,AMP1710
1,AMP2744
0,nonAMP94284
1,AMP67
0,nonAMP162438
0,nonAMP2235
1,AMP1347
0,nonAMP59750
1,AMP1206
0,nonAMP134604
0,nonAMP161850
1,AMP2092
1,nonAMP53586
0,nonAMP84459
1,AMP264
0,nonAMP90210
1,AMP2465
